Sl. No.,State/UT,2019-20,2020-21,2021-22,2022-23,2023-24
1,Andhra Pradesh,63.2,64.4,68.5,67.6,67.5
2,Arunachal Pradesh,81.9,83.6,78.4,82.8,82.9
3,Assam,87,88.5,87.2,76.8,86.2
4,Bihar,71,73.2,73.3,73.7,73.3
5,Chhattisgarh,76.1,75.3,77,76.2,76.6
6,Delhi,93.1,92.2,95.9,88.8,84.8
7,Goa,87.9,90.3,90.8,94.2,92.8
8,Gujarat,80.3,80,78.7,81.1,79.6
9,Haryana,75.5,78.3,79.1,80.1,81.3
10,Himachal Pradesh,85.8,86.8,86.2,87.7,88.1
11,Jharkhand,69.3,69.9,73.3,77.4,74.3
12,Karnataka,74.4,75.9,75.1,75.3,78.1
13,Kerala,92.9,93.3,93.3,93.3,94.2
14,Madhya Pradesh,72.3,70.9,72.9,72.6,71.6
15,Maharashtra,78.5,80.1,82.1,83,83.2
16,Manipur,87.6,88.8,88.8,89.5,90.9
17,Meghalava,91.7,94.7,94.9,94.6,93.6
18,Mizoram,99.8,97.8,99.5,99.1,98.1
19,Nagaland,95.6,96.6,94.7,94.6,95
20,Odisha,73.6,75.5,75.8,77.7,76.9
21,Punjab,76.4,79.2,79.4,81,81.1
22,Rajasthan,67,69.4,68.3,69.6,72.5
23,Sikkim,83.5,85.3,83.7,85.1,82.2
24,Tamil Nadu,79,80.2,81.4,82.7,81.2
25,Telangana,62.3,67.2,66.7,72.6,69.9
26,Tripura,91.1,90.1,90.6,92.6,92.8
27,Uttarakhand,79.3,80.8,85.5,84.9,82.2
28,Uttar Pradesh,71.2,72,72.7,74.9,76.5
29,West Bengal,78.1,80.1,81.4,80.7,80.3
30,Andaman and Nicobar Islands,84,90.5,91.9,91.2,90.6
31,Chandigarh,93,81,82.3,92.4,NA
32,Dadra and Nagar Haveli,68.7,74.9,76.1,81.3,75.8
33,Daman and Diu,77.4,NA,NA,NA,NA
34,Jammu and Kashmir,76.9,79,77.5,77,81.4
35,Ladakh,67.7,77.8,82.7,77.8,79.8
36,Lakshadweep,99.4,99,98.3,100,99.5
37,Puducherry,85,89,89.4,84.4,90.2
All India,All India,74.3,75.6,76.3,77,77.5
